model: 0, best: 0, AStype: 1, top: 0, p= 0.392066, second: 8, p= 0.306015, third: 2, p= 0.142879
model: 0, best: 0, AStype: 1, top: 0, p= 0.299765, second: 3, p= 0.208182, third: 9, p= 0.174404
model: 0, best: 0, AStype: 1, top: 0, p= 0.338597, second: 4, p= 0.315568, third: 3, p= 0.238916
model: 0, best: 0, AStype: 1, top: 0, p= 0.305036, second: 7, p= 0.184327, third: 3, p= 0.16935
model: 0, best: 0, AStype: 1, top: 0, p= 0.360194, second: 9, p= 0.186872, third: 3, p= 0.17686
model: 0, best: 0, AStype: 1, top: 0, p= 0.25227, second: 2, p= 0.209213, third: 6, p= 0.162252
model: 0, best: 0, AStype: 1, top: 0, p= 0.327465, second: 3, p= 0.127957, third: 8, p= 0.0936827
model: 0, best: 0, AStype: 1, top: 0, p= 0.211719, second: 7, p= 0.177269, third: 3, p= 0.1437
model: 0, best: 0, AStype: 1, top: 0, p= 0.448765, second: 3, p= 0.158071, third: 9, p= 0.125072
model: 0, best: 0, AStype: 2, top: 0, p= 0.346988, second: 8, p= 0.336361, third: 3, p= 0.28005
model: 0, best: 8, AStype: 2, top: 8, p= 0.401815, second: 0, p= 0.399506, third: 3, p= 0.193121
model: 0, best: 0, AStype: 2, top: 0, p= 0.41277, second: 4, p= 0.307371, third: 3, p= 0.247103
model: 0, best: 0, AStype: 2, top: 0, p= 0.337111, second: 8, p= 0.334506, third: 3, p= 0.274
model: 0, best: 4, AStype: 2, top: 4, p= 0.389284, second: 0, p= 0.353889, third: 3, p= 0.227982
model: 0, best: 0, AStype: 2, top: 0, p= 0.439419, second: 4, p= 0.263926, third: 3, p= 0.260456
model: 0, best: 0, AStype: 2, top: 0, p= 0.447338, second: 4, p= 0.372984, third: 5, p= 0.0873859
model: 0, best: 0, AStype: 2, top: 0, p= 0.390656, second: 8, p= 0.264861, third: 5, p= 0.146033
model: 0, best: 4, AStype: 2, top: 4, p= 0.428347, second: 0, p= 0.399747, third: 3, p= 0.0907968
model: 0, best: 0, AStype: 3, top: 0, p= 0.731883, second: 9, p= 0.111906, third: 3, p= 0.0616319
model: 0, best: 0, AStype: 3, top: 0, p= 0.646533, second: 7, p= 0.103274, third: 4, p= 0.082137
model: 0, best: 0, AStype: 3, top: 0, p= 0.626271, second: 2, p= 0.120249, third: 3, p= 0.0861774
model: 0, best: 0, AStype: 3, top: 0, p= 0.648063, second: 4, p= 0.103565, third: 9, p= 0.0983999
model: 0, best: 0, AStype: 3, top: 0, p= 0.737369, second: 9, p= 0.152556, third: 3, p= 0.0643887
model: 0, best: 0, AStype: 3, top: 0, p= 0.601264, second: 3, p= 0.117343, third: 2, p= 0.0962715
model: 0, best: 0, AStype: 3, top: 0, p= 0.723006, second: 3, p= 0.10725, third: 9, p= 0.0842452
model: 0, best: 0, AStype: 3, top: 0, p= 0.674802, second: 9, p= 0.113878, third: 3, p= 0.0978662
model: 0, best: 0, AStype: 3, top: 0, p= 0.57325, second: 3, p= 0.119528, third: 4, p= 0.111431
model: 1, best: 1, AStype: 1, top: 1, p= 0.759081, second: 9, p= 0.100645, third: 3, p= 0.0666686
model: 1, best: 1, AStype: 1, top: 1, p= 0.638457, second: 9, p= 0.320337, third: 2, p= 0.0190308
model: 1, best: 1, AStype: 1, top: 1, p= 0.417918, second: 4, p= 0.128741, third: 6, p= 0.128019
model: 1, best: 1, AStype: 1, top: 1, p= 0.505587, second: 5, p= 0.131192, third: 2, p= 0.0981091
model: 1, best: 1, AStype: 1, top: 1, p= 0.6137, second: 6, p= 0.14894, third: 9, p= 0.0923854
model: 1, best: 1, AStype: 1, top: 1, p= 0.338656, second: 3, p= 0.152413, third: 7, p= 0.0978082
model: 1, best: 1, AStype: 1, top: 1, p= 0.468436, second: 3, p= 0.146933, third: 2, p= 0.109081
model: 1, best: 1, AStype: 1, top: 1, p= 0.775309, second: 4, p= 0.105989, third: 5, p= 0.0714642
model: 1, best: 1, AStype: 1, top: 1, p= 0.429618, second: 6, p= 0.146642, third: 9, p= 0.104759
model: 1, best: 1, AStype: 2, top: 1, p= 0.412582, second: 8, p= 0.399907, third: 9, p= 0.178344
model: 1, best: 1, AStype: 2, top: 1, p= 0.497874, second: 9, p= 0.488215, third: 7, p= 0.00994546
model: 1, best: 1, AStype: 2, top: 1, p= 0.494718, second: 8, p= 0.48619, third: 9, p= 0.0166454
