M	A	F	Probability	S	Probability	T	Probability
0	1	0	0.3237003	3	0.1393205	9	0.1147880
0	2	0	0.3833764	4	0.2115681	3	0.1825584
0	3	0	0.6569081	9	0.0928140	3	0.0781155
1	1	1	0.5509340	9	0.0761772	3	0.0760969
1	2	1	0.4951534	8	0.2261679	9	0.1789531
1	3	1	0.6204960	9	0.0708070	3	0.0630180
2	1	2	0.4849546	6	0.2345194	0	0.0553847
2	2	2	0.7104651	6	0.1639560	4	0.0521560
2	3	2	0.9879686	6	0.0084183	8	0.0025109
3	1	3	0.5426370	1	0.1056945	8	0.0836667
3	2	3	0.6794751	8	0.1304879	0	0.0805715
3	3	3	0.9923372	4	0.0033154	7	0.0014831
4	1	4	0.4145123	0	0.1445739	9	0.1242422
4	2	4	0.4113470	1	0.2229688	0	0.1386990
4	3	4	0.4672440	5	0.1394051	0	0.1284960
5	1	5	0.4796224	8	0.0852792	1	0.0804701
5	2	5	0.6307545	8	0.0859264	1	0.0671349
5	3	5	0.5092277	0	0.1267720	8	0.0640619
6	1	6	0.4025101	2	0.2850240	9	0.0667092
6	2	6	0.6124965	2	0.1921092	8	0.0856480
6	3	6	0.8154999	2	0.1715389	5	0.0094772
7	1	7	0.6619616	1	0.0702125	0	0.0578406
7	2	7	0.9593912	9	0.0150168	5	0.0121623
7	3	7	0.9114005	5	0.0299412	9	0.0192379
8	1	8	0.4567785	0	0.1475213	3	0.0970987
8	2	8	0.4912316	0	0.1961568	3	0.0954925
8	3	8	0.5764180	0	0.1324556	5	0.0910863
9	1	9	0.4150318	6	0.1044938	0	0.0919405
9	2	9	0.6666971	1	0.0892718	4	0.0877096
9	3	9	0.6756710	0	0.1187033	8	0.0750070
Total Errors: 18
