model: 0, best: 0, AStype: 1, top: 0, p= 0.689521, second: 4, p= 0.150763, third: 9, p= 0.0586737
model: 0, best: 0, AStype: 1, top: 0, p= 0.804244, second: 8, p= 0.0854625, third: 6, p= 0.0364469
model: 0, best: 0, AStype: 1, top: 0, p= 0.723915, second: 9, p= 0.0870201, third: 7, p= 0.0466285
model: 0, best: 0, AStype: 1, top: 0, p= 0.629065, second: 4, p= 0.167218, third: 9, p= 0.138461
model: 0, best: 0, AStype: 1, top: 0, p= 0.697819, second: 3, p= 0.0800242, third: 6, p= 0.0610492
model: 0, best: 0, AStype: 1, top: 0, p= 0.38324, second: 5, p= 0.216827, third: 4, p= 0.204001
model: 0, best: 0, AStype: 1, top: 0, p= 0.577228, second: 5, p= 0.105375, third: 4, p= 0.101939
model: 0, best: 0, AStype: 1, top: 0, p= 0.648572, second: 9, p= 0.158497, third: 3, p= 0.121396
model: 0, best: 0, AStype: 1, top: 0, p= 0.429218, second: 8, p= 0.347126, third: 5, p= 0.141715
model: 0, best: 0, AStype: 1, top: 0, p= 0.688098, second: 5, p= 0.193551, third: 8, p= 0.049647
model: 0, best: 0, AStype: 2, top: 0, p= 0.614532, second: 5, p= 0.28023, third: 4, p= 0.0605301
model: 0, best: 0, AStype: 2, top: 0, p= 0.416324, second: 9, p= 0.255807, third: 4, p= 0.255189
model: 0, best: 0, AStype: 2, top: 0, p= 0.742593, second: 3, p= 0.154702, third: 4, p= 0.0412403
model: 0, best: 0, AStype: 2, top: 0, p= 0.373416, second: 8, p= 0.283757, third: 5, p= 0.242037
model: 0, best: 0, AStype: 2, top: 0, p= 0.862426, second: 3, p= 0.0813024, third: 7, p= 0.0214699
model: 0, best: 0, AStype: 2, top: 0, p= 0.61844, second: 5, p= 0.328804, third: 3, p= 0.0274594
model: 0, best: 0, AStype: 2, top: 0, p= 0.524028, second: 8, p= 0.239196, third: 3, p= 0.111496
model: 0, best: 0, AStype: 2, top: 0, p= 0.883256, second: 4, p= 0.0524462, third: 5, p= 0.0359475
model: 0, best: 0, AStype: 2, top: 0, p= 0.801781, second: 2, p= 0.102686, third: 6, p= 0.0510531
model: 0, best: 0, AStype: 2, top: 0, p= 0.648688, second: 9, p= 0.210201, third: 4, p= 0.075801
model: 0, best: 0, AStype: 3, top: 0, p= 0.789451, second: 3, p= 0.101462, third: 9, p= 0.0969298
model: 0, best: 0, AStype: 3, top: 0, p= 0.780357, second: 9, p= 0.108344, third: 3, p= 0.0954884
model: 0, best: 0, AStype: 3, top: 0, p= 0.967936, second: 7, p= 0.0101005, third: 3, p= 0.00819588
model: 0, best: 0, AStype: 3, top: 0, p= 0.808257, second: 9, p= 0.0921917, third: 3, p= 0.0920227
model: 0, best: 0, AStype: 3, top: 0, p= 0.825161, second: 3, p= 0.0825843, third: 9, p= 0.0813659
model: 0, best: 0, AStype: 3, top: 0, p= 0.865103, second: 9, p= 0.100465, third: 3, p= 0.0300377
model: 0, best: 0, AStype: 3, top: 0, p= 0.870619, second: 9, p= 0.10087, third: 3, p= 0.0237405
