M	A	F	Probability	S	Probability	T	Probability
0	1	0	0.6270920	5	0.0753836	4	0.0682740
0	2	0	0.6485484	5	0.1004012	8	0.0550613
0	3	0	0.8504689	9	0.0802114	3	0.0587381
1	1	1	0.7879138	9	0.1365057	4	0.0456103
1	2	1	0.9544914	9	0.0353150	5	0.0051694
1	3	1	0.9736787	9	0.0122167	7	0.0050604
2	1	2	0.6405009	6	0.2369139	1	0.0448360
2	2	2	0.7457686	6	0.2214220	1	0.0238750
2	3	2	0.7816730	6	0.0881993	9	0.0522677
3	1	3	0.8118211	1	0.0827694	7	0.0280414
3	2	3	0.9618394	1	0.0233278	8	0.0061573
3	3	3	0.9883515	1	0.0037846	8	0.0018750
4	1	4	0.7362160	1	0.0901207	5	0.0769866
4	2	4	0.6998531	9	0.1787161	5	0.0568306
4	3	4	0.9532175	5	0.0142022	7	0.0118533
5	1	5	0.7606600	8	0.0734274	0	0.0451606
5	2	5	0.7801510	8	0.1533214	1	0.0285367
5	3	5	0.8684445	2	0.0332813	1	0.0327612
6	1	6	0.6346945	2	0.2434184	1	0.0448395
6	2	6	0.7577792	2	0.2124416	1	0.0116114
6	3	6	0.8934856	2	0.0527189	5	0.0176567
7	1	7	0.7957070	1	0.0871703	9	0.0295677
7	2	7	0.9534331	5	0.0161580	1	0.0159019
7	3	7	0.9079769	1	0.0286495	9	0.0286370
8	1	8	0.6824302	9	0.0929561	0	0.0596770
8	2	8	0.7398784	5	0.1328112	0	0.0530728
8	3	8	0.9117558	0	0.0162976	2	0.0158283
9	1	9	0.6994776	1	0.0626538	4	0.0426648
9	2	9	0.7133297	8	0.1934071	4	0.0515072
9	3	9	0.7171339	0	0.1420807	4	0.0418347
Total Errors: 4
