model: 0, best: 0, AStype: 1, top: 0, p= 1.0, second: 9, p= 8.7073e-26, third: 5, p= 1.99496e-35
model: 0, best: 0, AStype: 1, top: 0, p= 1.0, second: 9, p= 7.45373e-11, third: 5, p= 5.95752e-36
model: 0, best: 0, AStype: 1, top: 0, p= 1.0, second: 4, p= 4.96052e-31, third: 5, p= 1.76764e-31
model: 0, best: 0, AStype: 1, top: 0, p= 1.0, second: 5, p= 4.50901e-13, third: 4, p= 1.04889e-22
model: 0, best: 0, AStype: 1, top: 0, p= 1.0, second: 9, p= 4.87341e-30, third: 8, p= 6.66692e-42
model: 0, best: 0, AStype: 1, top: 0, p= 1.0, second: 9, p= 2.65689e-32, third: 8, p= 3.40819e-52
model: 0, best: 0, AStype: 1, top: 0, p= 1.0, second: 4, p= 7.37943e-08, third: 9, p= 3.74319e-23
model: 0, best: 0, AStype: 1, top: 0, p= 1.0, second: 4, p= 3.72315e-19, third: 5, p= 4.94848e-53
model: 0, best: 0, AStype: 1, top: 0, p= 1.0, second: 9, p= 4.60177e-44, third: 5, p= 5.27096e-56
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 9, p= 8.99356e-52, third: 5, p= 1.30789e-54
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 5, p= 1.69019e-29, third: 4, p= 3.66991e-64
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 9, p= 2.1435e-28, third: 5, p= 2.36426e-39
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 9, p= 6.06675e-34, third: 8, p= 2.81484e-64
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 9, p= 9.45367e-29, third: 5, p= 1.26664e-32
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 9, p= 1.55843e-36, third: 5, p= 1.42012e-50
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 8, p= 2.28979e-38, third: 5, p= 2.80892e-41
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 5, p= 9.04944e-30, third: 9, p= 6.09992e-39
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 9, p= 2.89184e-30, third: 5, p= 5.55724e-39
