M	A	5	Probability	10	Probability
0	1	0	0.9946819	0	1.0000000
0	2	0	1.0000000	0	1.0000000
0	3	0	1.0000000	0	1.0000000
1	1	1	0.9641374	1	1.0000000
1	2	1	1.0000000	1	1.0000000
1	3	1	1.0000000	1	1.0000000
2	1	2	0.9985742	2	0.9999989
2	2	2	1.0000000	2	1.0000000
2	3	2	1.0000000	2	1.0000000
3	1	3	1.0000000	3	1.0000000
3	2	3	1.0000000	3	1.0000000
3	3	3	1.0000000	3	1.0000000
4	1	4	0.8066902	4	1.0000000
4	2	4	1.0000000	4	1.0000000
4	3	4	0.8069424	4	1.0000000
5	1	5	0.8890789	5	0.9030885
5	2	5	1.0000000	5	0.9000000
5	3	5	1.0000000	5	1.0000000
6	1	6	0.9541947	6	0.9999750
6	2	6	0.9998370	6	1.0000000
6	3	6	1.0000000	6	1.0000000
7	1	7	1.0000000	7	1.0000000
7	2	7	1.0000000	7	1.0000000
7	3	7	1.0000000	7	1.0000000
8	1	8	0.9681195	8	0.9999006
8	2	8	0.9994362	8	1.0000000
8	3	8	1.0000000	8	1.0000000
9	1	9	0.8903222	9	0.9452897
9	2	9	1.0000000	9	0.9999993
9	3	9	1.0000000	9	1.0000000
