M	A	F	Probability	S	Probability	T	Probability
0	1	0	1.0000000	4	0.0000000	9	0.0000000
0	2	0	1.0000000	9	0.0000000	5	0.0000000
0	3	0	1.0000000	4	0.0000000	5	0.0000000
1	1	1	1.0000000	9	0.0000000	4	0.0000000
1	2	1	1.0000000	6	0.0000000	2	0.0000000
1	3	1	1.0000000	9	0.0000000	4	0.0000000
2	1	2	0.9999989	6	0.0000011	0	0.0000000
2	2	2	1.0000000	6	0.0000000	8	0.0000000
2	3	2	1.0000000	6	0.0000000	5	0.0000000
3	1	3	1.0000000	0	0.0000000	5	0.0000000
3	2	3	1.0000000	9	0.0000000	8	0.0000000
3	3	3	1.0000000	9	0.0000000	8	0.0000000
4	1	4	1.0000000	9	0.0000000	0	0.0000000
4	2	4	1.0000000	5	0.0000000	0	0.0000000
4	3	4	1.0000000	5	0.0000000	0	0.0000000
5	1	5	0.9030885	8	0.0969115	1	0.0000000
5	2	5	0.9000000	8	0.0999799	9	0.0000201
5	3	5	1.0000000	8	0.0000000	4	0.0000000
6	1	6	0.9999750	2	0.0000251	0	0.0000000
6	2	6	1.0000000	2	0.0000000	8	0.0000000
6	3	6	1.0000000	2	0.0000000	8	0.0000000
7	1	7	1.0000000	5	0.0000000	2	0.0000000
7	2	7	1.0000000	5	0.0000000	9	0.0000000
7	3	7	1.0000000	5	0.0000000	9	0.0000000
8	1	8	0.9999006	0	0.0000994	9	0.0000000
8	2	8	1.0000000	9	0.0000000	5	0.0000000
8	3	8	1.0000000	9	0.0000000	5	0.0000000
9	1	9	0.9452897	1	0.0547102	0	0.0000001
9	2	9	0.9999993	4	0.0000007	5	0.0000000
9	3	9	1.0000000	4	0.0000000	5	0.0000000
Total Errors: 3
