model: 0, best: 0, AStype: 1, top: 0, p= 0.921971, second: 8, p= 0.0604706, third: 5, p= 0.0160642
model: 0, best: 0, AStype: 1, top: 0, p= 0.90575, second: 4, p= 0.0923473, third: 9, p= 0.00128281
model: 0, best: 0, AStype: 1, top: 0, p= 0.996767, second: 7, p= 0.00217966, third: 9, p= 0.000594059
model: 0, best: 0, AStype: 1, top: 0, p= 0.976435, second: 9, p= 0.0131269, third: 8, p= 0.00929866
model: 0, best: 0, AStype: 1, top: 0, p= 0.997771, second: 3, p= 0.00106581, third: 4, p= 0.000958329
model: 0, best: 0, AStype: 1, top: 0, p= 0.819568, second: 9, p= 0.179854, third: 5, p= 0.000508033
model: 0, best: 0, AStype: 1, top: 0, p= 0.914411, second: 4, p= 0.0819205, third: 5, p= 0.00297566
model: 0, best: 0, AStype: 1, top: 0, p= 0.981244, second: 8, p= 0.0116834, third: 5, p= 0.00703702
model: 0, best: 0, AStype: 1, top: 0, p= 0.976906, second: 9, p= 0.0185969, third: 4, p= 0.00360004
model: 0, best: 0, AStype: 1, top: 0, p= 0.958585, second: 4, p= 0.0307425, third: 5, p= 0.00567246
model: 0, best: 0, AStype: 2, top: 0, p= 0.987073, second: 5, p= 0.0127886, third: 9, p= 8.09596e-05
model: 0, best: 0, AStype: 2, top: 0, p= 0.997703, second: 9, p= 0.00139244, third: 4, p= 0.000897374
model: 0, best: 0, AStype: 2, top: 0, p= 0.999959, second: 5, p= 3.80126e-05, third: 4, p= 1.54759e-06
model: 0, best: 0, AStype: 2, top: 0, p= 0.999996, second: 9, p= 1.30739e-06, third: 4, p= 1.2215e-06
model: 0, best: 0, AStype: 2, top: 0, p= 0.999979, second: 9, p= 1.15574e-05, third: 5, p= 9.08715e-06
model: 0, best: 0, AStype: 2, top: 0, p= 0.999327, second: 9, p= 0.000616271, third: 8, p= 5.21653e-05
model: 0, best: 0, AStype: 2, top: 0, p= 0.998243, second: 5, p= 0.00170455, third: 9, p= 5.05342e-05
model: 0, best: 0, AStype: 2, top: 0, p= 0.999971, second: 5, p= 2.37803e-05, third: 8, p= 3.43522e-06
model: 0, best: 0, AStype: 2, top: 0, p= 0.860444, second: 4, p= 0.139215, third: 5, p= 0.000331685
model: 0, best: 0, AStype: 2, top: 0, p= 0.999023, second: 8, p= 0.000892637, third: 9, p= 7.94569e-05
model: 0, best: 0, AStype: 3, top: 0, p= 0.999603, second: 9, p= 0.000213677, third: 4, p= 0.000177987
model: 0, best: 0, AStype: 3, top: 0, p= 0.999871, second: 9, p= 9.22117e-05, third: 4, p= 3.38276e-05
model: 0, best: 0, AStype: 3, top: 0, p= 0.999422, second: 9, p= 0.000375341, third: 4, p= 0.000196309
model: 0, best: 0, AStype: 3, top: 0, p= 0.999705, second: 9, p= 0.000193413, third: 4, p= 9.5601e-05
model: 0, best: 0, AStype: 3, top: 0, p= 0.999719, second: 9, p= 0.000263049, third: 4, p= 1.24186e-05
model: 0, best: 0, AStype: 3, top: 0, p= 0.988954, second: 4, p= 0.00994101, third: 3, p= 0.000538677
model: 0, best: 0, AStype: 3, top: 0, p= 0.951882, second: 4, p= 0.0475358, third: 5, p= 0.000411279
model: 0, best: 0, AStype: 3, top: 0, p= 0.953356, second: 4, p= 0.0463959, third: 3, p= 0.000149604
model: 0, best: 0, AStype: 3, top: 0, p= 0.923312, second: 4, p= 0.0761197, third: 3, p= 0.000392475
model: 0, best: 0, AStype: 3, top: 0, p= 0.999833, second: 9, p= 0.000112154, third: 4, p= 5.25462e-05
model: 1, best: 1, AStype: 1, top: 1, p= 0.999537, second: 7, p= 0.000459914, third: 6, p= 1.65649e-06
model: 1, best: 1, AStype: 1, top: 1, p= 0.999989, second: 3, p= 3.72779e-06, third: 2, p= 2.97339e-06
model: 1, best: 1, AStype: 1, top: 1, p= 0.99999, second: 3, p= 7.60545e-06, third: 2, p= 1.17545e-06
model: 1, best: 1, AStype: 1, top: 1, p= 0.999985, second: 3, p= 1.24375e-05, third: 7, p= 1.33702e-06
model: 1, best: 1, AStype: 1, top: 1, p= 0.999981, second: 7, p= 9.44619e-06, third: 3, p= 7.08669e-06
model: 1, best: 1, AStype: 1, top: 1, p= 0.999987, second: 2, p= 7.27971e-06, third: 6, p= 4.41075e-06
model: 1, best: 1, AStype: 1, top: 1, p= 0.999557, second: 7, p= 0.00016235, third: 2, p= 0.000155098
model: 1, best: 1, AStype: 1, top: 1, p= 0.999999, second: 2, p= 9.80024e-07, third: 5, p= 1.33732e-07
model: 1, best: 1, AStype: 1, top: 1, p= 0.999924, second: 2, p= 2.91935e-05, third: 6, p= 2.29793e-05
model: 1, best: 1, AStype: 1, top: 1, p= 0.999972, second: 2, p= 1.19588e-05, third: 6, p= 1.18053e-05
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 3, p= 5.77315e-08, third: 5, p= 5.32668e-08
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 5, p= 2.17101e-07, third: 3, p= 5.85639e-08
model: 1, best: 1, AStype: 2, top: 1, p= 0.999999, second: 6, p= 2.50852e-07, third: 9, p= 2.06445e-07
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 9, p= 5.71374e-08, third: 2, p= 2.68011e-08
