M	A	5	Probability	10	Probability
0	1	0	0.7772692	0	0.9449408
0	2	0	0.8422144	0	0.9841718
0	3	0	0.9134127	0	0.9815657
1	1	1	0.9801806	1	0.9998921
1	2	1	0.9968608	1	0.9999999
1	3	1	0.9948683	1	0.9999987
2	1	2	0.7567098	2	0.8810876
2	2	2	0.7700522	2	0.9884063
2	3	2	0.8876273	2	0.9901279
3	1	3	0.9313041	3	0.9995366
3	2	3	0.9898569	3	0.9999869
3	3	3	0.9844715	3	0.9999854
4	1	4	0.4847862	4	0.7974723
4	2	4	0.7908587	4	0.9911619
4	3	4	0.6267818	4	0.9869291
5	1	5	0.5171318	5	0.8234045
5	2	5	0.6591498	5	0.9252307
5	3	5	0.6914529	5	0.9740845
6	1	6	0.6838697	6	0.8523517
6	2	6	0.8518317	6	0.9842229
6	3	6	0.9207769	6	0.9934426
7	1	7	0.9759604	7	0.9999628
7	2	7	0.9974595	7	0.9999995
7	3	7	0.9990138	7	0.9999999
8	1	8	0.3925382	8	0.7306494
8	2	8	0.8321475	8	0.9959804
8	3	8	0.9378671	8	0.9970052
9	1	9	0.5435641	9	0.8508086
9	2	9	0.6315919	9	0.8028092
9	3	9	0.7333778	9	0.9348174
