model: 0, best: 0, AStype: 1, top: 0, p= 0.81901, second: 4, p= 0.179855, third: 5, p= 0.00113499
model: 0, best: 0, AStype: 1, top: 0, p= 0.999999, second: 4, p= 1.27798e-06, third: 5, p= 5.93295e-13
model: 0, best: 0, AStype: 1, top: 0, p= 0.999997, second: 9, p= 2.61845e-06, third: 8, p= 2.13858e-09
model: 0, best: 0, AStype: 1, top: 0, p= 0.999999, second: 8, p= 7.11369e-07, third: 5, p= 1.1416e-09
model: 0, best: 0, AStype: 1, top: 0, p= 0.999956, second: 9, p= 4.44917e-05, third: 4, p= 7.69591e-10
model: 0, best: 0, AStype: 1, top: 0, p= 0.999887, second: 5, p= 0.000113061, third: 4, p= 8.66506e-11
model: 0, best: 0, AStype: 1, top: 0, p= 1.0, second: 9, p= 5.65711e-08, third: 4, p= 8.20813e-16
model: 0, best: 0, AStype: 1, top: 0, p= 1.0, second: 8, p= 4.28118e-16, third: 9, p= 5.96637e-17
model: 0, best: 4, AStype: 1, top: 4, p= 0.734175, second: 0, p= 0.265825, third: 5, p= 2.25766e-11
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 4, p= 1.35797e-09, third: 9, p= 3.31594e-24
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 4, p= 2.92281e-25, third: 5, p= 8.0416e-31
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 8, p= 8.01567e-16, third: 5, p= 7.78582e-19
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 5, p= 2.17269e-24, third: 9, p= 1.13674e-27
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 9, p= 1.18355e-17, third: 8, p= 3.67418e-25
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 4, p= 2.21342e-12, third: 5, p= 7.57695e-21
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 8, p= 6.36758e-14, third: 2, p= 1.61673e-17
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 8, p= 2.535e-11, third: 9, p= 2.21817e-21
model: 0, best: 0, AStype: 2, top: 0, p= 1.0, second: 4, p= 4.37912e-14, third: 9, p= 9.23524e-23
model: 0, best: 0, AStype: 3, top: 0, p= 1.0, second: 8, p= 1.74053e-09, third: 9, p= 1.24698e-16
model: 0, best: 0, AStype: 3, top: 0, p= 1.0, second: 8, p= 1.83748e-18, third: 9, p= 3.53217e-23
model: 0, best: 0, AStype: 3, top: 0, p= 1.0, second: 4, p= 2.98149e-19, third: 9, p= 3.43301e-38
model: 0, best: 0, AStype: 3, top: 0, p= 1.0, second: 8, p= 1.67578e-08, third: 9, p= 4.63051e-17
model: 0, best: 0, AStype: 3, top: 0, p= 1.0, second: 4, p= 4.38014e-14, third: 9, p= 1.79695e-28
model: 0, best: 0, AStype: 3, top: 0, p= 1.0, second: 4, p= 2.51985e-25, third: 8, p= 1.48361e-38
model: 0, best: 0, AStype: 3, top: 0, p= 1.0, second: 4, p= 6.85633e-18, third: 9, p= 1.11976e-32
model: 0, best: 0, AStype: 3, top: 0, p= 0.999996, second: 8, p= 4.16506e-06, third: 9, p= 3.52059e-21
model: 0, best: 0, AStype: 3, top: 0, p= 1.0, second: 8, p= 1.53196e-21, third: 4, p= 1.18894e-21
model: 1, best: 1, AStype: 1, top: 1, p= 1.0, second: 4, p= 7.78577e-09, third: 5, p= 2.70076e-13
model: 1, best: 1, AStype: 1, top: 1, p= 1.0, second: 3, p= 1.95096e-14, third: 4, p= 2.2784e-18
model: 1, best: 1, AStype: 1, top: 1, p= 1.0, second: 5, p= 1.145e-07, third: 8, p= 7.27855e-16
model: 1, best: 1, AStype: 1, top: 1, p= 1.0, second: 4, p= 3.25504e-07, third: 7, p= 1.54206e-16
model: 1, best: 1, AStype: 1, top: 1, p= 1.0, second: 7, p= 1.40883e-14, third: 3, p= 1.95913e-16
model: 1, best: 1, AStype: 1, top: 1, p= 1.0, second: 8, p= 1.1256e-12, third: 3, p= 2.58333e-14
model: 1, best: 1, AStype: 1, top: 1, p= 0.999934, second: 8, p= 6.55463e-05, third: 7, p= 1.2279e-17
model: 1, best: 1, AStype: 1, top: 1, p= 1.0, second: 3, p= 1.03322e-09, third: 4, p= 5.10307e-13
model: 1, best: 1, AStype: 1, top: 1, p= 0.999493, second: 9, p= 0.000497395, third: 4, p= 9.53455e-06
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 6, p= 7.17323e-21, third: 3, p= 4.41996e-21
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 2, p= 6.30932e-16, third: 6, p= 6.10146e-16
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 6, p= 1.49005e-19, third: 2, p= 1.95124e-20
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 9, p= 1.03342e-18, third: 2, p= 6.48257e-20
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 6, p= 5.0942e-15, third: 2, p= 1.83684e-16
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 3, p= 5.04807e-20, third: 4, p= 4.70349e-20
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 5, p= 6.32986e-16, third: 3, p= 8.30395e-17
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 6, p= 5.85108e-16, third: 2, p= 1.55833e-16
model: 1, best: 1, AStype: 2, top: 1, p= 1.0, second: 9, p= 1.04189e-17, third: 6, p= 3.25211e-18
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 9, p= 3.63112e-15, third: 7, p= 1.73206e-17
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 8, p= 1.0621e-14, third: 9, p= 2.70369e-18
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 9, p= 2.96483e-14, third: 7, p= 1.08859e-16
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 9, p= 4.57984e-16, third: 7, p= 1.69849e-16
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 7, p= 1.137e-12, third: 6, p= 2.50709e-13
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 9, p= 2.06107e-12, third: 6, p= 2.93283e-15
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 3, p= 1.27774e-14, third: 7, p= 4.46295e-16
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 4, p= 2.5464e-12, third: 3, p= 1.79266e-12
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 4, p= 2.59717e-14, third: 7, p= 1.07929e-14
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 7.27313e-12, third: 0, p= 1.66078e-12
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 3.79504e-07, third: 0, p= 6.97804e-17
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 5, p= 7.18193e-10, third: 4, p= 3.13541e-15
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 3.27478e-11, third: 5, p= 4.23002e-15
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 1.80165e-10, third: 0, p= 1.96197e-13
model: 2, best: 2, AStype: 1, top: 2, p= 0.999988, second: 6, p= 1.22362e-05, third: 0, p= 3.55776e-17
model: 2, best: 2, AStype: 1, top: 2, p= 0.999673, second: 6, p= 0.00032687, third: 7, p= 4.70183e-16
model: 2, best: 2, AStype: 1, top: 2, p= 0.999995, second: 6, p= 5.18749e-06, third: 0, p= 1.40986e-13
model: 2, best: 2, AStype: 1, top: 2, p= 0.996099, second: 6, p= 0.00390109, third: 0, p= 2.04223e-16
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 0, p= 1.1237e-25, third: 4, p= 2.2647e-28
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 4, p= 3.02263e-22, third: 5, p= 2.24247e-25
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 0, p= 1.14316e-21, third: 8, p= 7.73044e-26
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 5, p= 1.46282e-30, third: 0, p= 3.25881e-31
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 5, p= 2.36325e-22, third: 4, p= 2.35602e-22
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 5, p= 1.0309e-18, third: 4, p= 5.19148e-20
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 0, p= 3.28317e-25, third: 4, p= 4.35862e-34
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 0, p= 1.61215e-25, third: 8, p= 3.32779e-32
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 0, p= 1.49679e-19, third: 9, p= 1.01773e-21
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 8, p= 1.4826e-31, third: 0, p= 1.42089e-31
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 5, p= 3.03418e-20, third: 6, p= 4.5262e-24
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 5, p= 8.67033e-30, third: 0, p= 1.70024e-32
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 0, p= 7.02928e-23, third: 8, p= 4.20048e-27
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 5, p= 7.93762e-26, third: 0, p= 4.34135e-27
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 5, p= 2.3477e-23, third: 0, p= 8.82848e-24
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 8, p= 6.11472e-23, third: 5, p= 2.12367e-23
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 0, p= 5.73489e-28, third: 8, p= 5.72234e-37
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 5, p= 7.46325e-28, third: 0, p= 7.42003e-28
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 8, p= 2.47671e-10, third: 0, p= 1.41741e-13
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 4, p= 3.16129e-12, third: 0, p= 4.75321e-14
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 0, p= 1.06269e-13, third: 4, p= 1.07498e-16
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 0, p= 5.19372e-13, third: 7, p= 4.2592e-20
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 9, p= 8.06763e-12, third: 0, p= 7.89749e-18
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 9, p= 1.00183e-15, third: 0, p= 2.28244e-17
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 0, p= 6.17296e-14, third: 8, p= 1.03318e-15
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 0, p= 6.57245e-09, third: 8, p= 4.89076e-17
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 0, p= 3.57012e-17, third: 8, p= 1.71653e-18
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 8, p= 4.76957e-24, third: 0, p= 2.24611e-29
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 0, p= 4.94675e-30, third: 5, p= 1.82978e-32
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 9, p= 3.67758e-26, third: 0, p= 7.69976e-30
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 0, p= 1.27531e-24, third: 9, p= 1.52732e-29
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 0, p= 1.49708e-30, third: 9, p= 3.03986e-31
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 0, p= 1.37175e-27, third: 9, p= 1.13734e-27
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 0, p= 7.00945e-28, third: 5, p= 2.7061e-30
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 9, p= 8.51147e-32, third: 0, p= 1.43667e-32
model: 3, best: 3, AStype: 2, top: 3, p= 1.0, second: 0, p= 1.23152e-27, third: 9, p= 2.67807e-34
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 1, p= 6.55708e-36, third: 0, p= 3.4538e-39
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 0, p= 4.4366e-41, third: 9, p= 5.94307e-43
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 9, p= 1.73274e-35, third: 0, p= 9.00546e-46
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 0, p= 8.48002e-42, third: 9, p= 4.94158e-43
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 9, p= 2.92445e-40, third: 8, p= 4.65493e-46
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 4, p= 1.30861e-26, third: 0, p= 4.08651e-28
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 9, p= 9.91883e-39, third: 0, p= 5.0492e-42
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 9, p= 3.80091e-31, third: 8, p= 1.3118e-38
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 0, p= 1.28166e-29, third: 8, p= 4.45553e-30
model: 4, best: 4, AStype: 1, top: 4, p= 1.0, second: 0, p= 2.65346e-07, third: 5, p= 3.75367e-16
model: 4, best: 0, AStype: 1, top: 0, p= 0.993506, second: 4, p= 0.00649401, third: 9, p= 1.19859e-07
model: 4, best: 0, AStype: 1, top: 0, p= 0.51893, second: 4, p= 0.48107, third: 5, p= 1.53521e-19
