M	A	F	Probability	S	Probability	T	Probability
0	1	0	0.9084665	4	0.0914039	5	0.0001248
0	2	0	1.0000000	4	0.0000000	8	0.0000000
0	3	0	0.9999996	8	0.0000004	4	0.0000000
1	1	1	0.9999427	9	0.0000497	8	0.0000066
1	2	1	1.0000000	6	0.0000000	2	0.0000000
1	3	1	1.0000000	4	0.0000000	9	0.0000000
2	1	2	0.9126871	6	0.0873130	5	0.0000000
2	2	2	1.0000000	5	0.0000000	0	0.0000000
2	3	2	1.0000000	5	0.0000000	0	0.0000000
3	1	3	1.0000000	0	0.0000000	8	0.0000000
3	2	3	1.0000000	9	0.0000000	8	0.0000000
3	3	3	1.0000000	4	0.0000000	0	0.0000000
4	1	4	0.7673152	0	0.2174108	5	0.0152740
4	2	4	0.8988430	0	0.1009426	5	0.0002145
4	3	4	0.9999941	0	0.0000053	9	0.0000006
5	1	5	0.9384191	0	0.0560863	4	0.0054946
5	2	5	1.0000000	0	0.0000000	8	0.0000000
5	3	5	1.0000000	4	0.0000000	0	0.0000000
6	1	6	0.9735153	2	0.0264847	0	0.0000000
6	2	6	1.0000000	0	0.0000000	4	0.0000000
6	3	6	1.0000000	2	0.0000000	8	0.0000000
7	1	7	1.0000000	8	0.0000000	0	0.0000000
7	2	7	1.0000000	0	0.0000000	8	0.0000000
7	3	7	1.0000000	8	0.0000000	4	0.0000000
8	1	8	0.9056713	0	0.0943273	5	0.0000007
8	2	8	0.7999870	0	0.1000128	5	0.1000000
8	3	8	0.9996405	0	0.0003554	5	0.0000041
9	1	9	0.7457620	0	0.0999053	4	0.0955348
9	2	9	1.0000000	0	0.0000000	8	0.0000000
9	3	9	1.0000000	5	0.0000000	0	0.0000000
Total Errors: 11
